tool_name,network,program_name,status,official_url,affiliate_url,reward_type,reward_value,currency,conversion_action,cookie_days,approval_score,article_match_score,last_verified,notes
Canva,,公式リンク,none,https://www.canva.com/,,none,0,JPY,なし,0,0,80,2026-08-05,ASP案件未登録
Gamma,,公式リンク,none,https://gamma.app/,,none,0,JPY,なし,0,0,80,2026-08-05,ASP案件未登録
ChatGPT,,公式リンク,none,https://chatgpt.com/,,none,0,JPY,なし,0,0,90,2026-08-05,ASP案件未登録
Claude,,公式リンク,none,https://claude.ai/,,none,0,JPY,なし,0,0,90,2026-08-05,ASP案件未登録
Gemini,,公式リンク,none,https://gemini.google.com/,,none,0,JPY,なし,0,0,90,2026-08-05,ASP案件未登録
Cursor,,公式リンク,none,https://www.cursor.com/,,none,0,JPY,なし,0,0,90,2026-08-05,ASP案件未登録
